cd_municipio_7,regional_saude,nm_cidade,uf_municipio,nm_regiao,cidades_habitantes,id_singular,reg_ans
3142304,Belo Horizonte,Moeda,MG,Sudeste,5314,009,344451
3142403,Divinópolis,Moema,MG,Sudeste,7812,045,344451
3142502,Sete Lagoas,Monjolos,MG,Sudeste,2187,045,344451
3142601,Varginha,Monsenhor Paulo,MG,Sudeste,8565,045,344451
3142700,Januária,Montalvânia,MG,Sudeste,14068,045,344451
3142809,Uberlândia,Monte Alegre de Minas,MG,Sudeste,20708,045,344451
3142908,Montes Claros,Monte Azul,MG,Sudeste,20497,045,344451
3143005,Alfenas,Monte Belo,MG,Sudeste,13347,182,409791
3143104,Uberlândia,Monte Carmelo,MG,Sudeste,49500,045,344451
3143153,Pedra Azul,Monte Formoso,MG,Sudeste,4437,045,344451
3143203,Passos,Monte Santo de Minas,MG,Sudeste,21294,045,344451
3143302,Montes Claros,Montes Claros,MG,Sudeste,437601,045,344451
3143401,Pouso Alegre,Monte Sião,MG,Sudeste,25107,041,419028
3143450,Montes Claros,Montezuma,MG,Sudeste,6951,045,344451
3143500,Sete Lagoas,Morada Nova de Minas,MG,Sudeste,9414,045,344451
3143609,Sete Lagoas,Morro da Garça,MG,Sudeste,2426,045,344451
3143708,Itabira,Morro do Pilar,MG,Sudeste,3161,045,344451
3143807,Pouso Alegre,Munhoz,MG,Sudeste,7930,045,344451
3143906,Ubá,Muriaé,MG,Sudeste,108447,042,327441
3144003,Manhumirim,Mutum,MG,Sudeste,28749,045,344451
3144102,Alfenas,Muzambinho,MG,Sudeste,22620,182,409791
3144201,Governador Valadares,Nacip Raydan,MG,Sudeste,2400,045,344451
3144300,Teófilo Otoni,Nanuque,MG,Sudeste,35263,045,344451
3144359,Coronel Fabriciano,Naque,MG,Sudeste,6443,045,344451
3144375,Unaí,Natalândia,MG,Sudeste,3642,045,344451
3144409,Pouso Alegre,Natércia,MG,Sudeste,4805,045,344451
3144508,São João Del Rei,Nazareno,MG,Sudeste,8407,045,344451
3144607,Varginha,Nepomuceno,MG,Sudeste,25757,045,344451
3144656,Montes Claros,Ninheira,MG,Sudeste,10965,045,344451
3144672,Governador Valadares,Nova Belém,MG,Sudeste,3126,045,344451
3144706,Itabira,Nova Era,MG,Sudeste,17813,045,344451
3144805,Belo Horizonte,Nova Lima,MG,Sudeste,120959,009,344451
3144904,Teófilo Otoni,Nova Módica,MG,Sudeste,3726,045,344451
3145000,Uberlândia,Nova Ponte,MG,Sudeste,15220,045,344451
3145059,Montes Claros,Nova Porteirinha,MG,Sudeste,6746,045,344451
3145109,Alfenas,Nova Resende,MG,Sudeste,16919,182,409791
3145208,Divinópolis,Nova Serrana,MG,Sudeste,114791,045,344451
3145307,Teófilo Otoni,Novo Cruzeiro,MG,Sudeste,27268,045,344451
3145356,Teófilo Otoni,Novo Oriente de Minas,MG,Sudeste,10503,045,344451
3145372,Montes Claros,Novorizonte,MG,Sudeste,4612,045,344451
3145406,Juiz de Fora,Olaria,MG,Sudeste,1986,045,344451
3145455,Montes Claros,Olhos-d'Água,MG,Sudeste,5530,045,344451
3145505,Varginha,Olímpio Noronha,MG,Sudeste,2618,045,344451
3145604,Divinópolis,Oliveira,MG,Sudeste,40576,045,344451
3145703,Juiz de Fora,Oliveira Fortes,MG,Sudeste,2058,045,344451
3145802,Divinópolis,Onça de Pitangui,MG,Sudeste,3024,045,344451
3145851,Ponte Nova,Oratórios,MG,Sudeste,5102,045,344451
3145877,Manhumirim,Orizânia,MG,Sudeste,8828,045,344451
3145901,Barbacena,Ouro Branco,MG,Sudeste,40638,045,344451
3146008,Pouso Alegre,Ouro Fino,MG,Sudeste,33285,041,419028
3146107,Belo Horizonte,Ouro Preto,MG,Sudeste,77914,045,344451
3146206,Teófilo Otoni,Ouro Verde de Minas,MG,Sudeste,5847,045,344451
3146255,Montes Claros,Padre Carvalho,MG,Sudeste,5045,045,344451
3146305,Teófilo Otoni,Padre Paraíso,MG,Sudeste,17463,045,344451
3146404,Sete Lagoas,Paineiras,MG,Sudeste,4253,045,344451
3146503,Divinópolis,Pains,MG,Sudeste,8353,045,344451
3146552,Montes Claros,Pai Pedro,MG,Sudeste,5616,045,344451
3146602,Barbacena,Paiva,MG,Sudeste,1495,045,344451
3146701,Leopoldina,Palma,MG,Sudeste,5699,127,401919
3146750,Pedra Azul,Palmópolis,MG,Sudeste,6342,045,344451
3146909,Sete Lagoas,Papagaios,MG,Sudeste,14202,045,344451
3147006,Unaí,Paracatu,MG,Sudeste,99005,045,344451
3147105,Divinópolis,Pará de Minas,MG,Sudeste,102844,045,344451
3147204,Alfenas,Paraguaçu,MG,Sudeste,22452,182,409791
3147303,Pouso Alegre,Paraisópolis,MG,Sudeste,21076,041,419028
3147402,Sete Lagoas,Paraopeba,MG,Sudeste,24899,045,344451
3147501,Itabira,Passabém,MG,Sudeste,1609,045,344451
3147600,Varginha,Passa Quatro,MG,Sudeste,15847,045,344451
3147709,Divinópolis,Passa Tempo,MG,Sudeste,8716,045,344451
